cv_id,organization,position,status,startDate,endDate,linkedin
84,German Society for Materials Science - Deutsche Gesellschaft für Materialkunde e.V. (DGM),Fachreferent MatWerk - Materials Engineering Specialist,ACTIVE,2024-02,,https://www.linkedin.com/company/deutsche-gesellschaft-für-materialkunde-e-v-
85,Immoheld,CEO,ACTIVE,2017-10,,https://www.linkedin.com/company/immoheld
85,FREEMATCH,Gesellschafter,ACTIVE,2024-04,,https://www.linkedin.com/company/freematch
86,Deutsche Bundesbank,Statistiker,ACTIVE,2023-10,,https://www.linkedin.com/company/deutsche-bundesbank
87,Bee4GIS,Chief Operating Officer,ACTIVE,2023-12,,https://www.linkedin.com/company/bee4gis
88,Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI),Adjunct Researcher,ACTIVE,2018-08,,https://www.linkedin.com/company/dfki
89,TSAR-Tech,Self-Employed,ACTIVE,2014-01,,
90,Sade Ofset Printing&Packaging,Managing Partner,ACTIVE,2011-12,,
90,SPM Label BV,Founding Partner,ACTIVE,2017-10,,
91,edge Performance Limited,Partner,ACTIVE,2015-06,,https://www.linkedin.com/company/edge-performance-limited
94,360 Media Direct,Chief Information Officer,ACTIVE,2019-10,,https://www.linkedin.com/company/360mediadirect
95,HHL Leipzig Graduate School of Management,Visiting Lecturer,ACTIVE,2023-09,,
96,Technische Universität Berlin,Präsidentin Technische Universität Berlin,ACTIVE,2022-04,,
96,Charité,Professorin für Medizinische Biometrie,ACTIVE,2017-07,,
97,Billtrust,Sr. Customer Support spec.,ACTIVE,2017-01,,https://www.linkedin.com/company/billtrust
97,Order2Cash,Customer Support Engineer,ACTIVE,2017-01,,https://www.linkedin.com/company/order2cash
98,Misereor,Personalreferent,ACTIVE,1993-09,,https://www.linkedin.com/company/misereor
99,St. Josef Hospital Dortmund,Pflegefachkraft,ACTIVE,2023-07,,
100,Selbständig,freischaffender Künstler,ACTIVE,1973,,
101,New York State Developmental Disabilities Advisory Employment and Meaningful Activities Subcommittee,Subcommittee Member,ACTIVE,2024-07,,
101,New York State Developmental Disabilities Advisory Committee,Committee Member,ACTIVE,2022-01,,
101,fitness inclusion network,Instagram Manager for fitness inclusion network,ACTIVE,2020-10,,
102,Superstition Fire & Medical District,Deputy Chief,ACTIVE,2024-06,,https://www.linkedin.com/company/superstition-fire-&-medical-district
102,Superstition Fire & Medical District,Battalion Chief,ACTIVE,1999-10,,https://www.linkedin.com/company/superstition-fire-&-medical-district
103,TRATON GROUP,Product Manager,ACTIVE,2025-04,,https://www.linkedin.com/company/tratongroup
104,Papirfly,OM/Customer Success Manager,ACTIVE,2023-04,,https://www.linkedin.com/company/papirfly
104,Kalmar Företagsgrupp KFG,Styrelseledamot,ACTIVE,2023-04,,
105,MAFRA Maile GmbH,Geschäftsführer,ACTIVE,1999-07,,
106,Dynatrace,Senior Director Product Management,ACTIVE,2022-08,,https://www.linkedin.com/company/dynatrace
107,Canal marée,Matelot,ACTIVE,2015-08,,
108,LBS Landesbausparkasse NordWest,Gebietsleiter LBS NordWest,ACTIVE,2012-08,,https://www.linkedin.com/company/bausparkasse-lbs-nordwestdeutsche-landesbausparkasse
108,LBS Landesbausparkasse NordWest,Gebietsleiter,ACTIVE,2012-08,,https://www.linkedin.com/company/bausparkasse-lbs-nordwestdeutsche-landesbausparkasse
110,Roche,"Country Lead, Country Clinical Operations",ACTIVE,2020-03,,https://www.linkedin.com/company/roche
111,Vic Water,Director,ACTIVE,2014-10,,
111,GWM Water,Chairman,ACTIVE,2011-09,,
111,Belyana P/S,Executive Director,ACTIVE,2010-01,,
111,Vogel P/L,Executive Director,ACTIVE,1980-04,,
112,Photron Deutschland GmbH,Sales Manager,ACTIVE,2017-01,,
113,Baylor University Point-of-Need Innovations Center,Undergraduate Research Assistant,ACTIVE,2023-08,,https://www.linkedin.com/company/baylor-university-point-of-need-innovations-center
114,Financial Conduct Authority,Technical Specialist,ACTIVE,2006-10,,https://www.linkedin.com/company/financial-conduct-authority
115,Tesla,Team Lead Global Supply Management,ACTIVE,2023-08,,https://www.linkedin.com/company/tesla-motors
118,Kanton Luzern,Leiter Projektmanagement / Projektleiter,ACTIVE,2023-01,,https://www.linkedin.com/company/kanton-luzern
118,HSLU Hochschule Luzern,Dozent Hochschule Luzern,ACTIVE,2020-08,,
119,One Point,Unternehmensinhaber,ACTIVE,1996-01,,
120,Neopac,HR Business Partner,ACTIVE,2021-05,,https://www.linkedin.com/company/neopac-the-tube
120,BFB Bildung Formation Biel-Bienne,Lehrgangsleiter HR-Assistent*in & Referent SB Personalwesen,ACTIVE,2024-08,,
121,Hecht,Corporate recruiter,ACTIVE,2021-08,,https://www.linkedin.com/company/wijzijnhecht
122,3F Kommunikation,Unternehmensinhaber,ACTIVE,2002-02,,
123,Cenovus Energy,Sr. Drafting & Design Technologist .,ACTIVE,2022-05,,https://www.linkedin.com/company/cenovus-energy
123,148th FW,Avionics Sensor Systems and Electronic Warfare Systems,ACTIVE,2024-01,,
124,Xaretos,Owner,ACTIVE,2012-10,,https://www.linkedin.com/company/xaretos-unternehmensberatung
125,bp,Global Category Manager - Technology & Payment Solutions,ACTIVE,2022-05,,https://www.linkedin.com/company/bp
126,SHELL INFORMATION TECHNOLOGY INTERNATIONAL BV,Program Manager,ACTIVE,2020-06,,
127,Paradise Tomato Kitchens - Signature Sauce. Signature Service,Chief Growth Officer,ACTIVE,2013,,https://www.linkedin.com/company/paradise-tomato-kitchens-inc.
128,JetBrains,Senior Software Developer,ACTIVE,2022-06,,https://www.linkedin.com/company/jetbrains
129,PLAZAMEDIA GmbH,Geschäftsführer / CEO&COO,ACTIVE,2015-11,,https://www.linkedin.com/company/plazamedia
130,DNV,Customer Executive & Member of Management Northern Europe,ACTIVE,2019-06,,https://www.linkedin.com/company/dnv
131,LIZ Smart Office GmbH,Senior Software Engineer at LIZ Smart Office GmbH,ACTIVE,2021-03,,https://www.linkedin.com/company/liz-solutions
134,Progressive Recruitment,Recruitment Consultant,ACTIVE,2022-04,,https://www.linkedin.com/company/progressive-recruitment
135,Merz Reisen GmbH,CEO,ACTIVE,2019-03,,
136,Canon Austria GmbH,Corporate Communications & Marketing Services Senior Manager,ACTIVE,2017-04,,https://www.linkedin.com/company/canon-emea
137,Scope International AG,International Clinical Project Manager,ACTIVE,2011-04,,https://www.linkedin.com/company/scope-international-ag
138,Volkswagen AG,Leiter Inhouse Logistik,ACTIVE,2021-12,,https://www.linkedin.com/company/volkswagen-group
139,Microsoft,Technology Lead Germany - Global Partner Solutions,ACTIVE,2023-11,,https://www.linkedin.com/company/microsoft
140,Bustec,Director of Sales and Marketing,ACTIVE,2025-01,,https://www.linkedin.com/company/bustec
